Type, POC, QP, Total PSNR, Y PSNR, U PSNR, V PSNR, Frame Bits, BitRate
I_SLICE, 0, 20, 42.532, 42.020, 43.245, 44.399, 251400, 12570.000
P_SLICE, 1, 20, 41.247, 40.513, 42.597, 43.998, 109984, 5499.200
